Direction,Letter Height (degrees),Eccentricity (degrees)
4,0.9999999999999998,5
4,0.8,10
4,2.9000000000000004,25
4,2.2,20
4,3.8000000000000007,30
4,2.700000000000001,15
1,4.900000000000002,35
1,0.5999999999999999,10
1,3.8000000000000025,30
1,5.100000000000001,40
1,1.7,15
1,2.7,25
1,1.5000000000000009,20
1,0.2,0
1,0.5,5
2,1.7000000000000017,25
2,3.6000000000000023,30
2,1.4999999999999998,20
2,1.4999999999999998,10
2,2.6,15
2,0.4,5
3,4.2,40
3,1.4999999999999996,10
3,4.700000000000002,35
3,0.20000000000000004,0
3,1.4999999999999998,15
3,3.2,30
3,2.000000000000001,25
3,2.2,20
3,1.0,5
