Direction,Letter Height (degrees),Eccentricity (degrees)
2,5.3000000000000025,30
2,0.30000000000000004,5
2,2.7,25
2,1.0,15
2,0.9000000000000001,20
2,0.40000000000000013,10
3,3.800000000000002,35
3,1.5000000000000007,30
3,2.2,40
3,0.20000000000000004,0
3,1.0,10
3,1.5999999999999999,25
3,0.4,5
3,1.4999999999999998,20
3,0.4999999999999999,15
4,3.2,30
4,1.4,20
4,0.4,5
4,2.3000000000000007,25
4,1.5999999999999999,15
4,0.40000000000000024,10
1,2.7,30
1,3.1000000000000014,40
1,1.2999999999999998,20
1,1.0,15
1,0.4,5
1,0.8,10
1,0.20000000000000004,0
1,2.7000000000000006,35
1,1.6000000000000005,25
