Direction,Letter Height (degrees),Eccentricity (degrees)
2,1.2999999999999998,30
2,0.30000000000000004,5
2,0.3999999999999999,15
2,0.7000000000000002,20
2,0.4,10
2,1.0999999999999999,25
3,1.2,20
3,0.20000000000000004,5
3,0.4,10
3,1.0,35
3,0.40000000000000024,25
3,0.7000000000000002,30
3,0.20000000000000004,0
3,1.4999999999999998,40
3,0.40000000000000024,15
1,0.20000000000000004,10
1,0.9000000000000001,35
1,0.3000000000000002,20
1,1.7,30
1,0.20000000000000004,0
1,0.20000000000000004,5
1,0.5000000000000002,25
1,0.4999999999999999,15
1,1.0,40
4,1.4000000000000006,30
4,0.30000000000000004,5
4,0.40000000000000013,10
4,1.1,20
4,1.2999999999999996,25
4,0.9000000000000001,15
