Direction,Letter Height (degrees),Eccentricity (degrees)
1,1.2,35
1,0.5,15
1,0.5999999999999999,30
1,0.20000000000000004,0
1,3.8000000000000007,40
1,0.8999999999999999,20
1,0.30000000000000004,5
1,0.4999999999999999,10
1,0.9999999999999996,25
2,0.7000000000000002,15
2,0.30000000000000004,5
2,2.2,30
2,1.5,25
2,0.8,10
2,1.2,20
4,0.8,15
4,0.5,5
4,4.000000000000001,30
4,1.7999999999999996,25
4,1.4,20
4,0.40000000000000013,10
3,0.9000000000000001,20
3,1.6,30
3,1.5999999999999999,25
3,0.7000000000000002,15
3,2.5000000000000018,40
3,1.5999999999999996,35
3,0.20000000000000004,5
3,0.40000000000000013,10
3,0.2,0
