,,,,T1,T1,T1,,CP,CP,CP,,CPO,CPO,CPO,,CC 9x9,CC 9x9,CC 9x9,,CC 3x3,CC 3x3,CC 3x3,,IC,IC,IC,,CP 9x9,CP 9x9,CP 9x9
Session Index,Type,Subject Code,Date,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error,,Mean,Standard Deviation,Standard Error
1,Internal,SARA,03-02-20,0.246,0.0693,0.008941268,,0.056,0.0164,0.002896703,,0.049,0.0154,0.003858437,,0.025,0.0068,0.001829378,,0.025,0.0105,0.00281711,,0.032,0.0113,0.002735945,,,,
2,Internal,ANNA,03-02-20,0.31,0.0965,0.010723992,,0.106,0.0496,0.008771409,,0.07,0.0194,0.004841264,,0.031,0.0094,0.0026133,,0.034,0.0069,0.001845237,,0.042,0.0116,0.002910394,,0.158,0.0417,0.012045028
3,Internal,TREVOR,03-02-2020,0.356,0.0911,0.0104549,,,,,,,,,,0.032,0.0058,0.00156089,,0.03,0.01,0.00266748,,0.033,0.0121,0.00303228,,,,
4,Internal,NICK,03-03-2020,0.25,0.0796,0.00660876,,0.094,0.0345,0.00470114,,0.073,0.0217,0.00417605,,0.027,0.0084,0.00224489,,0.037,0.0067,0.00179308,,0.038,0.0143,0.00269734,,,,
5,Internal,JANE,03-03-2020,0.178,0.0459,0.00516238,,0.076,0.0304,0.00413888,,0.055,0.0184,0.0035437,,0.021,0.0052,0.00139845,,0.028,0.0071,0.00188651,,0.025,0.0062,0.00155631,,,,
6,Internal,THIDA,03-03-2020,0.263,0.0703,0.00828584,,0.112,0.0412,0.00727606,,0.102,0.0388,0.00970521,,0.029,0.0063,0.00169646,,0.028,0.0077,0.0020685,,0.034,0.013,0.00315711,,,,
7,Internal,SABA,03-03-2020,0.276,0.1199,0.01300219,,0.065,0.0244,0.00453013,,0.057,0.0245,0.00613235,,0.026,0.0093,0.00248384,,0.027,0.0091,0.00242857,,0.038,0.0144,0.00360954,,,,
8,Internal,SARA,03-06-2020,0.246,0.0693,0.00894127,,0.06,0.0172,0.00259864,,0.049,0.0154,0.00385844,,0.025,0.0068,0.00182938,,0.025,0.0105,0.00281711,,0.032,0.0113,0.00273595,,0.07,0.0163,0.00471163
1,Mock,LIZ,2-3-20,0.298,0.1205,0.01400589,,,,,,,,,,,,,,,,,,0.037,0.0127,0.00316525,,,,
4,Mock,NICK,2-14-20,0.358,0.1325,0.0146332,,,,,,,,,,,,,,,,,,0.043,0.0092,0.002378,,,,
2,Mock,SABA,2-11-20,0.276,0.1323,0.02594995,,,,,,,,,,,,,,,,,,0.028,0.0053,0.00137427,,,,
3,Mock,SABA,2-14-20,0.248,0.0755,0.00849473,,,,,,,,,,,,,,,,,,0.027,0.0091,0.00233955,,,,
5,Mock,SABA,2-19-20,,,,,,,,,,,,,0.031,0.0132,0.00330876,,0.03,0.0138,0.00345927,,0.029,0.0101,0.00252832,,,,
6,Mock,SABA,2-21-20,,,,,0.08,0.03,0.00538474,,0.074,0.0312,0.00780436,,,,,,,,,,0.031,0.0126,0.00314787,,,,
1,Study,CNPC,2-10-20,0.293,0.0535,0.0063967,,,,,,,,,,,,,,,,,,0.036,0.0089,0.00229351,,,,
2,Study,IZCH,2-7-20,0.327,0.0964,0.01064462,,,,,,,,,,,,,,,,,,0.045,0.0171,0.00428203,,,,
3,Study,LKAJ,2-25-20,,,,,0.097,0.0379,0.00691304,,0.117,0.0522,0.01348363,,,,,,,,,,0.035,0.0132,0.00320525,,,,
4,Study,MKAI,3-1-20,0.33,0.1037,0.01197887,,,,,,,,,,,,,,,,,,0.053,0.0108,0.0026181,,,,
5,Study,MMNK,2-11-20,0.295,0.1081,0.01282531,,,,,,,,,,,,,,,,,,0.037,0.0213,0.00531609,,,,
6,Study,OFBL,2-13-20,0.321,0.1153,0.01358821,,,,,,,,,,,,,,,,,,0.024,0.0094,0.00234651,,,,
7,Study,PLKA,03-06-20,0.309,0.1158,0.01319895,,,,,,,,,,,,,,,,,,0.042,0.0136,0.00330988,,,,
