Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
2,8,21.64,3
1,4,11.22,3
1,1,6.45,7
2,0,0,7
2,4,13.06,3.5
1,4,13.06,3.5
1,1,2.31,2.5
2,0,0,2.5
1,4,14.62,4
2,3,11.07,4
1,1,0.34,0.23
2,2,0.69,0.23
1,5,6.96,1.5
2,4,5.57,1.5
2,1,9.31,10
1,2,18.16,10
2,0,0,2
1,5,9.09,2
2,6,26.47,5
1,2,9.43,5
1,2,10.98,6
2,1,5.54,6
1,3,1.41,0.5
2,4,1.88,0.5
1,3,21.31,8
2,3,21.31,8
1,2,16.49,9
2,4,30.63,9
2,3,2.75,1
1,3,2.75,1
2,4,7.29,2
1,5,9.09,2
2,4,33.26,10
1,2,18.16,10
2,5,18.06,4
1,4,14.62,4
2,2,10.98,6
1,2,10.98,6
1,5,11.42,2.5
2,7,15.79,2.5
1,2,12.73,7
2,3,18.73,7
2,6,16.57,3
1,4,11.22,3
1,4,27.47,8
2,6,37.95,8
2,0,0,9
1,4,30.63,9
2,4,3.66,1
1,7,6.39,1
1,6,26.47,5
2,5,22.54,5
2,2,6.62,3.5
1,0,0,3.5
2,3,1.03,0.23
1,3,1.03,0.23
2,3,1.41,0.5
1,0,0,0.5
1,4,5.57,1.5
2,0,0,1.5
1,6,10.87,2
2,5,9.09,2
1,2,4.62,2.5
2,0,0,2.5
2,1,3.32,3.5
1,7,22.1,3.5
2,5,22.54,5
1,4,18.37,5
2,4,33.26,10
1,3,26.2,10
1,4,1.88,0.5
2,5,2.35,0.5
2,5,1.72,0.23
1,4,1.37,0.23
1,1,3.73,4
2,6,21.37,4
1,0,0,1.5
2,4,5.57,1.5
2,4,30.63,9
1,2,16.49,9
1,6,34.14,7
2,4,24.32,7
2,4,11.22,3
1,4,11.22,3
2,6,5.48,1
1,9,8.19,1
2,5,25.87,6
1,3,16.22,6
1,4,27.47,8
2,6,37.95,8
