Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
2,1,9.31,10
1,0,0,10
2,3,2.75,1
1,1,0.92,1
1,3,11.07,4
2,4,14.62,4
1,0,0,0.23
2,0,0,0.23
2,4,13.06,3.5
1,2,6.62,3.5
2,0,0,6
1,3,16.22,6
2,2,4.62,2.5
1,0,0,2.5
2,3,23.94,9
1,2,16.49,9
1,0,0,1.5
2,4,5.57,1.5
2,1,7.41,8
1,3,21.31,8
2,3,5.48,2
1,3,5.48,2
1,3,1.41,0.5
2,3,1.41,0.5
2,1,4.74,5
1,2,9.43,5
1,3,8.46,3
2,3,8.46,3
2,1,6.45,7
1,3,18.73,7
1,0,0,3
2,0,0,3
1,2,0.69,0.23
2,0,0,0.23
2,1,7.41,8
1,0,0,8
2,0,0,7
1,3,18.73,7
1,3,1.41,0.5
2,2,0.94,0.5
1,3,4.19,1.5
2,2,2.79,1.5
1,3,11.07,4
2,3,11.07,4
1,3,13.98,5
2,0,0,5
2,3,16.22,6
1,3,16.22,6
2,3,26.2,10
1,1,9.31,10
2,3,2.75,1
1,3,2.75,1
2,3,23.94,9
1,0,0,9
1,3,5.48,2
2,3,5.48,2
1,3,6.91,2.5
2,3,6.91,2.5
1,3,9.87,3.5
2,3,9.87,3.5
2,3,13.98,5
1,3,13.98,5
2,3,11.07,4
1,3,11.07,4
1,3,26.2,10
2,0,0,10
1,0,0,0.23
2,0,0,0.23
2,2,14.57,8
1,2,14.57,8
2,3,2.75,1
1,3,2.75,1
1,1,8.42,9
2,1,8.42,9
1,3,5.48,2
2,5,9.09,2
1,3,4.19,1.5
2,3,4.19,1.5
2,3,16.22,6
1,3,16.22,6
1,3,6.91,2.5
2,0,0,2.5
2,0,0,0.5
1,1,0.47,0.5
1,3,9.87,3.5
2,3,9.87,3.5
1,3,18.73,7
2,3,18.73,7
2,3,8.46,3
1,0,0,3
