Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,2,5.67,3
1,5,9.09,2
1,9,8.19,1
1,0,0,0.23
1,9,16.07,2
3,6,16.57,3
3,8,24.89,3.5
3,6,44.54,10
3,4,1.88,0.5
1,7,22.1,3.5
1,6,21.37,4
3,10,17.74,2
1,0,0,0.23
1,6,37.95,8
3,5,25.87,6
3,5,36.5,9
1,7,48.94,10
1,6,37.95,8
3,6,44.54,10
1,6,30.2,6
1,8,11.05,1.5
1,7,9.69,1.5
1,4,1.88,0.5
1,7,46.01,9
3,7,9.69,1.5
1,5,16.17,3.5
1,9,4.22,0.5
3,0,0,5
3,7,22.1,3.5
1,8,27.55,4
3,6,21.37,4
1,7,46.01,9
3,6,13.63,2.5
1,6,8.33,1.5
3,8,17.91,2.5
3,8,14.36,2
3,10,17.74,2
3,6,26.47,5
3,8,24.89,3.5
1,5,29.47,7
3,8,27.55,4
3,5,33.02,8
1,3,16.22,6
1,7,48.94,10
1,6,26.47,5
3,7,15.79,2.5
3,0,0,0.23
1,9,30.4,4
3,8,7.29,1
1,10,22,2.5
1,7,19.15,3
3,4,27.47,8
1,7,12.63,2
3,6,41.61,9
1,9,8.19,1
3,7,19.15,3
3,11,9.98,1
3,6,21.37,4
1,6,44.54,10
1,6,30.2,6
1,7,30.16,5
1,7,46.01,9
3,7,34.18,6
3,0,0,0.5
1,6,34.14,7
3,6,37.95,8
1,8,24.89,3.5
1,0,0,0.23
3,5,29.47,7
3,4,18.37,5
3,6,34.14,7
1,2,14.57,8
3,8,11.05,1.5
3,5,25.87,6
1,8,17.91,2.5
1,9,8.19,1
3,7,6.39,1
1,5,22.54,5
3,8,11.05,1.5
3,5,39.35,10
3,7,38.34,7
1,10,4.69,0.5
3,9,4.22,0.5
3,6,41.61,9
1,11,23.96,2.5
3,0,0,0.23
1,6,34.14,7
3,8,21.64,3
1,8,21.64,3
3,0,0,0.23
