Direction,Letter Height (degrees),Eccentricity (degrees)
4,3.9000000000000012,30
4,3.6000000000000014,20
4,3.2000000000000015,15
4,0.5,5
4,4.500000000000002,25
4,1.5999999999999996,10
3,5.900000000000002,35
3,2.6000000000000005,20
3,6.400000000000002,40
3,3.3000000000000007,30
3,0.20000000000000004,0
3,0.40000000000000013,10
3,0.4,5
3,1.1,15
3,3.200000000000001,25
1,2.0000000000000004,25
1,4.200000000000001,30
1,0.8,10
1,1.7,20
1,4.800000000000002,35
1,0.30000000000000004,5
1,6.3000000000000025,40
1,0.40000000000000013,15
1,0.20000000000000004,0
2,2.0000000000000004,20
2,1.1,10
2,2.700000000000001,25
2,4.200000000000002,30
2,0.9000000000000001,15
2,0.30000000000000004,5
