Direction,Letter Height (degrees),Eccentricity (degrees)
2,0.8,15
2,1.5999999999999999,30
2,1.0,20
2,0.40000000000000013,10
2,0.9999999999999998,25
3,0.8,25
3,0.40000000000000013,15
3,0.40000000000000013,20
3,0.7000000000000002,30
3,0.5000000000000001,35
3,0.2000000000000001,10
3,1.2,40
1,0.40000000000000013,10
1,0.40000000000000024,20
1,0.3999999999999998,30
1,0.4,15
1,0.40000000000000013,35
1,1.0,40
1,0.7000000000000002,25
4,2.4000000000000004,30
4,0.9999999999999998,20
4,0.7000000000000002,15
4,0.3000000000000002,10
4,1.0999999999999996,25
