Direction,Letter Height (degrees),Eccentricity (degrees)
1,1.2999999999999996,15
1,0.20000000000000004,0
1,1.8000000000000005,20
1,0.40000000000000013,5
1,4.700000000000002,35
1,1.4,10
1,3.0000000000000018,25
1,7.200000000000003,40
1,4.200000000000002,30
3,3.700000000000001,30
3,4.900000000000001,40
3,0.20000000000000004,0
3,4.000000000000001,35
3,0.8,5
3,2.9000000000000012,25
3,1.7,20
3,1.5999999999999999,10
3,2.1999999999999997,15
4,4.600000000000002,25
4,2.400000000000001,15
4,5.200000000000002,30
4,1.7999999999999998,10
4,0.5,5
4,2.700000000000001,20
2,1.3999999999999997,10
2,0.8,5
2,2.6000000000000014,25
2,3.000000000000001,30
2,1.2,15
2,2.1,20
