Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,4,11.22,3
1,2,16.49,9
1,3,21.31,8
1,3,1.03,0.23
1,7,9.69,1.5
1,2,12.73,7
1,9,16.07,2
1,4,21.21,6
1,1,0.92,1
1,6,13.63,2.5
1,0,0,3.5
1,2,0.94,0.5
1,5,22.54,5
1,3,26.2,10
1,6,21.37,4
1,4,24.32,7
1,3,23.94,9
1,6,13.63,2.5
1,6,2.82,0.5
1,0,0,5
1,3,26.2,10
1,7,19.15,3
1,5,18.06,4
1,3,5.48,2
1,5,16.17,3.5
1,6,8.33,1.5
1,2,0.69,0.23
1,5,4.57,1
1,4,21.21,6
1,3,21.31,8
1,5,1.72,0.23
1,0,0,5
1,3,2.75,1
1,0,0,3.5
1,3,23.94,9
1,6,37.95,8
1,3,6.91,2.5
1,4,33.26,10
1,5,29.47,7
1,8,3.75,0.5
1,7,12.63,2
1,0,0,3
1,5,25.87,6
1,5,6.96,1.5
1,5,18.06,4
2,7,19.15,3
2,4,30.63,9
2,2,14.57,8
2,5,1.72,0.23
2,4,5.57,1.5
2,4,24.32,7
2,2,3.66,2
2,2,10.98,6
2,6,5.48,1
2,5,11.42,2.5
2,0,0,3.5
2,2,0.94,0.5
2,4,18.37,5
2,5,39.35,10
2,4,14.62,4
2,4,24.32,7
2,5,36.5,9
2,6,13.63,2.5
2,2,0.94,0.5
2,5,22.54,5
2,4,33.26,10
2,7,19.15,3
2,7,24.53,4
2,4,7.29,2
2,6,19.19,3.5
2,0,0,1.5
2,0,0,0.23
2,6,5.48,1
2,4,21.21,6
2,6,37.95,8
2,3,1.03,0.23
2,0,0,5
2,7,6.39,1
2,5,16.17,3.5
2,4,30.63,9
2,2,14.57,8
2,6,13.63,2.5
2,4,33.26,10
2,4,24.32,7
2,5,2.35,0.5
2,4,7.29,2
2,5,13.93,3
2,6,30.2,6
2,0,0,1.5
2,6,21.37,4
