Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,4,11.22,3
1,3,18.73,7
1,3,9.87,3.5
1,0,0,2.5
1,1,3.73,4
1,1,0.34,0.23
1,2,2.79,1.5
1,0,0,10
1,0,0,2
1,0,0,5
1,2,10.98,6
1,3,1.41,0.5
1,2,14.57,8
1,2,16.49,9
1,4,3.66,1
1,3,4.19,1.5
1,0,0,0.23
1,3,18.73,7
1,3,26.2,10
1,0,0,8
1,3,1.41,0.5
1,0,0,3
1,3,11.07,4
1,3,16.22,6
1,0,0,2
1,0,0,1
1,3,9.87,3.5
1,1,8.42,9
1,3,6.91,2.5
1,2,9.43,5
1,2,10.98,6
1,3,26.2,10
1,3,18.73,7
1,0,0,0.23
1,3,6.91,2.5
1,3,8.46,3
1,2,3.66,2
1,3,21.31,8
1,2,6.62,3.5
1,4,14.62,4
1,0,0,0.5
1,0,0,5
1,0,0,9
1,2,1.83,1
1,2,2.79,1.5
2,4,11.22,3
2,3,18.73,7
2,3,9.87,3.5
2,1,2.31,2.5
2,3,11.07,4
2,0,0,0.23
2,0,0,1.5
2,2,18.16,10
2,0,0,2
2,1,4.74,5
2,0,0,6
2,3,1.41,0.5
2,0,0,8
2,2,16.49,9
2,2,1.83,1
2,3,4.19,1.5
2,1,0.34,0.23
2,2,12.73,7
2,2,18.16,10
2,2,14.57,8
2,3,1.41,0.5
2,3,8.46,3
2,2,7.43,4
2,3,16.22,6
2,0,0,2
2,3,2.75,1
2,3,9.87,3.5
2,3,23.94,9
2,4,9.18,2.5
2,3,13.98,5
2,2,10.98,6
2,3,26.2,10
2,2,12.73,7
2,1,0.34,0.23
2,4,9.18,2.5
2,4,11.22,3
2,3,5.48,2
2,2,14.57,8
2,3,9.87,3.5
2,3,11.07,4
2,3,1.41,0.5
2,3,13.98,5
2,3,23.94,9
2,2,1.83,1
2,4,5.57,1.5
