Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
3,1,0.34,0.23
3,0,0,2
3,4,21.21,6
3,6,2.82,0.5
1,6,5.48,1
3,4,3.66,1
1,1,7.41,8
1,2,0.94,0.5
3,0,0,1.5
3,1,3.32,3.5
1,7,12.63,2
1,2,4.62,2.5
3,0,0,7
3,3,26.2,10
1,5,16.17,3.5
1,5,18.06,4
3,3,26.2,10
3,5,13.93,3
3,5,18.06,4
3,6,13.63,2.5
3,0,0,0.23
3,7,12.63,2
1,1,5.54,6
1,0,0,0.5
1,0,0,1.5
3,4,27.47,8
3,7,9.69,1.5
3,4,30.63,9
3,4,13.06,3.5
1,4,21.21,6
1,0,0,10
3,6,13.63,2.5
3,1,8.42,9
1,5,18.06,4
1,6,13.63,2.5
1,4,14.62,4
3,3,13.98,5
3,4,11.22,3
3,5,16.17,3.5
3,4,27.47,8
1,1,0.47,0.5
3,1,1.4,1.5
1,0,0,1.5
3,1,6.45,7
3,3,26.2,10
1,4,24.32,7
1,4,33.26,10
1,5,22.54,5
1,11,9.98,1
3,0,0,4
1,4,24.32,7
1,4,33.26,10
1,4,21.21,6
1,4,27.47,8
3,3,16.22,6
1,7,9.69,1.5
3,0,0,0.5
1,0,0,0.23
1,5,22.54,5
1,4,30.63,9
1,0,0,0.23
3,1,8.42,9
3,5,22.54,5
1,4,30.63,9
3,4,27.47,8
1,4,11.22,3
1,0,0,5
3,5,13.93,3
1,6,19.19,3.5
1,7,19.15,3
1,2,0.69,0.23
3,0,0,1
3,4,21.21,6
1,5,11.42,2.5
1,0,0,7
1,12,10.87,1
3,0,0,0.23
3,8,3.75,0.5
3,5,18.06,4
1,5,33.02,8
1,6,19.19,3.5
3,4,24.32,7
1,6,10.87,2
1,2,5.67,3
1,0,0,2
3,5,4.57,1
3,4,18.37,5
1,3,23.94,9
3,4,7.29,2
3,0,0,2.5
