Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,3,6.91,2.5
2,4,9.18,2.5
2,4,11.22,3
1,4,11.22,3
1,4,1.88,0.5
2,4,1.88,0.5
1,0,0,3.5
2,3,9.87,3.5
1,3,5.48,2
2,4,7.29,2
1,2,12.73,7
2,4,24.32,7
2,1,8.42,9
1,2,16.49,9
1,4,3.66,1
2,4,3.66,1
1,5,22.54,5
2,5,22.54,5
2,3,21.31,8
1,2,14.57,8
1,4,14.62,4
2,3,11.07,4
1,4,21.21,6
2,1,5.54,6
2,0,0,10
1,3,26.2,10
1,5,6.96,1.5
2,5,6.96,1.5
2,0,0,0.23
1,3,1.03,0.23
1,4,18.37,5
2,4,18.37,5
2,5,25.87,6
1,4,21.21,6
2,4,3.66,1
1,5,4.57,1
2,4,24.32,7
1,5,29.47,7
1,3,26.2,10
2,2,18.16,10
1,3,4.19,1.5
2,4,5.57,1.5
1,2,7.43,4
2,3,11.07,4
1,4,7.29,2
2,5,9.09,2
2,1,0.47,0.5
1,4,1.88,0.5
1,2,0.69,0.23
2,2,0.69,0.23
2,4,13.06,3.5
1,4,13.06,3.5
2,3,21.31,8
1,4,27.47,8
1,4,30.63,9
2,4,30.63,9
1,6,16.57,3
2,4,11.22,3
2,4,9.18,2.5
1,3,6.91,2.5
1,4,7.29,2
2,1,1.83,2
1,2,1.83,1
2,4,3.66,1
1,4,14.62,4
2,3,11.07,4
2,3,26.2,10
1,2,18.16,10
1,3,4.19,1.5
2,2,2.79,1.5
1,4,1.88,0.5
2,0,0,0.5
1,4,30.63,9
2,3,23.94,9
1,1,0.34,0.23
2,2,0.69,0.23
2,3,9.87,3.5
1,4,13.06,3.5
1,1,4.74,5
2,4,18.37,5
2,3,21.31,8
1,3,21.31,8
2,4,24.32,7
1,3,18.73,7
2,1,2.84,3
1,4,11.22,3
1,5,25.87,6
2,5,25.87,6
2,1,2.31,2.5
1,5,11.42,2.5
