Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,3,16.22,6
2,5,25.87,6
1,3,8.46,3
2,2,5.67,3
2,5,39.35,10
1,3,26.2,10
1,3,21.31,8
2,2,14.57,8
1,2,12.73,7
2,3,18.73,7
2,0,0,0.23
1,0,0,0.23
1,5,18.06,4
2,2,7.43,4
1,4,7.29,2
2,3,5.48,2
2,5,4.57,1
1,5,4.57,1
1,3,13.98,5
2,3,13.98,5
2,3,23.94,9
1,1,8.42,9
2,5,2.35,0.5
1,2,0.94,0.5
1,3,6.91,2.5
2,2,4.62,2.5
1,4,13.06,3.5
2,3,9.87,3.5
1,4,5.57,1.5
2,3,4.19,1.5
2,4,14.62,4
1,3,11.07,4
1,4,9.18,2.5
2,5,11.42,2.5
1,6,8.33,1.5
2,3,4.19,1.5
2,4,7.29,2
1,5,9.09,2
1,3,2.75,1
2,5,4.57,1
2,4,21.21,6
1,4,21.21,6
2,3,23.94,9
1,4,30.63,9
1,4,27.47,8
2,4,27.47,8
1,0,0,0.23
2,0,0,0.23
2,3,26.2,10
1,3,26.2,10
1,3,18.73,7
2,5,29.47,7
1,4,18.37,5
2,2,9.43,5
2,4,1.88,0.5
1,5,2.35,0.5
1,4,13.06,3.5
2,3,9.87,3.5
1,3,8.46,3
2,5,13.93,3
1,5,16.17,3.5
2,4,13.06,3.5
1,1,5.54,6
2,2,10.98,6
2,4,27.47,8
1,3,21.31,8
2,0,0,0.23
1,0,0,0.23
2,4,18.37,5
1,4,18.37,5
2,4,5.57,1.5
1,4,5.57,1.5
2,3,1.41,0.5
1,2,0.94,0.5
2,3,2.75,1
1,4,3.66,1
2,4,30.63,9
1,4,30.63,9
2,4,24.32,7
1,4,24.32,7
1,3,5.48,2
2,2,3.66,2
2,4,11.22,3
1,3,8.46,3
1,5,11.42,2.5
2,5,11.42,2.5
2,4,33.26,10
1,4,33.26,10
1,4,14.62,4
2,4,14.62,4
