Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1,1,1.4,1.5
3,2,9.43,5
1,4,13.06,3.5
3,2,0.94,0.5
3,5,39.35,10
1,1,1.4,1.5
3,4,21.21,6
1,2,14.57,8
3,3,1.41,0.5
3,3,18.73,7
3,4,9.18,2.5
3,4,24.32,7
3,4,11.22,3
3,2,9.43,5
3,4,9.18,2.5
1,5,11.42,2.5
3,4,1.88,0.5
1,2,18.16,10
3,0,0,6
3,0,0,0.23
1,2,12.73,7
3,3,9.87,3.5
1,4,1.88,0.5
1,3,9.87,3.5
3,4,7.29,2
3,5,9.09,2
1,4,18.37,5
1,4,33.26,10
1,4,9.18,2.5
3,4,14.62,4
1,5,36.5,9
3,2,12.73,7
3,4,27.47,8
3,4,30.63,9
3,3,23.94,9
3,4,18.37,5
1,0,0,0.23
1,6,5.48,1
3,2,14.57,8
1,4,3.66,1
3,2,7.43,4
1,5,4.57,1
3,3,21.31,8
3,5,6.96,1.5
1,1,4.74,5
1,4,11.22,3
1,3,8.46,3
1,3,5.48,2
1,5,29.47,7
3,4,5.57,1.5
3,4,5.57,1.5
1,3,9.87,3.5
3,3,26.2,10
3,3,6.91,2.5
1,3,1.41,0.5
1,0,0,0.23
1,3,23.94,9
1,5,25.87,6
3,0,0,0.23
1,5,6.96,1.5
1,4,14.62,4
3,5,13.93,3
1,3,13.98,5
1,3,21.31,8
1,3,11.07,4
1,4,33.26,10
1,4,27.47,8
3,3,23.94,9
1,4,11.22,3
3,5,4.57,1
3,5,16.17,3.5
1,0,0,0.23
1,1,2.31,2.5
3,0,0,2
3,0,0,0.23
3,5,4.57,1
1,4,14.62,4
3,3,9.87,3.5
1,5,9.09,2
1,4,21.21,6
1,1,6.45,7
3,3,11.07,4
1,3,5.48,2
1,1,8.42,9
3,3,8.46,3
1,2,10.98,6
3,0,0,1
3,2,10.98,6
3,3,26.2,10
1,5,2.35,0.5
