Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
2,4,11.22,3
1,6,16.57,3
1,3,18.73,7
2,4,24.32,7
2,0,0,3.5
1,5,16.17,3.5
1,5,11.42,2.5
2,2,4.62,2.5
1,0,0,4
2,4,14.62,4
1,0,0,0.23
2,0,0,0.23
1,7,9.69,1.5
2,3,4.19,1.5
2,2,18.16,10
1,3,26.2,10
2,4,7.29,2
1,6,10.87,2
2,3,13.98,5
1,1,4.74,5
1,6,30.2,6
2,3,16.22,6
1,4,1.88,0.5
2,7,3.29,0.5
1,4,27.47,8
2,3,21.31,8
1,2,16.49,9
2,4,30.63,9
2,6,5.48,1
1,0,0,1
2,0,0,2
1,4,7.29,2
2,2,18.16,10
1,4,33.26,10
2,3,11.07,4
1,0,0,4
2,5,25.87,6
1,4,21.21,6
1,6,13.63,2.5
2,4,9.18,2.5
1,4,24.32,7
2,4,24.32,7
2,4,11.22,3
1,6,16.57,3
1,3,21.31,8
2,5,33.02,8
2,3,23.94,9
1,5,36.5,9
2,4,3.66,1
1,1,0.92,1
1,0,0,5
2,3,13.98,5
2,4,13.06,3.5
1,5,16.17,3.5
2,0,0,0.23
1,0,0,0.23
2,0,0,0.5
1,4,1.88,0.5
1,4,5.57,1.5
2,0,0,1.5
1,2,3.66,2
2,2,3.66,2
1,4,9.18,2.5
2,5,11.42,2.5
2,6,19.19,3.5
1,4,13.06,3.5
2,4,18.37,5
1,6,26.47,5
2,0,0,10
1,0,0,10
1,6,2.82,0.5
2,3,1.41,0.5
2,0,0,0.23
1,0,0,0.23
1,0,0,4
2,8,27.55,4
1,3,4.19,1.5
2,5,6.96,1.5
2,6,41.61,9
1,4,30.63,9
1,4,24.32,7
2,6,34.14,7
2,2,5.67,3
1,4,11.22,3
2,2,1.83,1
1,5,4.57,1
2,4,21.21,6
1,5,25.87,6
1,6,37.95,8
2,5,33.02,8
