Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
3,1,0.34,0.23
3,4,7.29,2
3,2,10.98,6
3,7,3.29,0.5
1,0,0,1
3,4,3.66,1
1,1,7.41,8
1,0,0,0.5
3,4,5.57,1.5
3,4,13.06,3.5
1,6,10.87,2
1,0,0,2.5
3,5,29.47,7
3,2,18.16,10
1,3,9.87,3.5
1,5,18.06,4
3,4,33.26,10
3,3,8.46,3
3,4,14.62,4
3,2,4.62,2.5
3,2,0.69,0.23
3,5,9.09,2
1,4,21.21,6
1,3,1.41,0.5
1,5,6.96,1.5
3,4,27.47,8
3,6,8.33,1.5
3,2,16.49,9
3,3,9.87,3.5
1,4,21.21,6
1,3,26.2,10
3,3,6.91,2.5
3,3,23.94,9
1,4,14.62,4
1,5,11.42,2.5
1,3,11.07,4
3,5,22.54,5
3,2,5.67,3
3,0,0,3.5
3,1,7.41,8
1,2,0.94,0.5
3,5,6.96,1.5
1,5,6.96,1.5
3,4,24.32,7
3,2,18.16,10
1,5,29.47,7
1,3,26.2,10
1,5,22.54,5
1,7,6.39,1
3,5,18.06,4
1,2,12.73,7
1,3,26.2,10
1,6,30.2,6
1,3,21.31,8
3,3,16.22,6
1,1,1.4,1.5
3,4,1.88,0.5
1,0,0,0.23
1,4,18.37,5
1,4,30.63,9
1,0,0,0.23
3,5,36.5,9
3,5,22.54,5
1,3,23.94,9
3,3,21.31,8
1,4,11.22,3
1,4,18.37,5
3,4,11.22,3
1,0,0,3.5
1,5,13.93,3
1,5,1.72,0.23
3,5,4.57,1
3,2,10.98,6
1,4,9.18,2.5
1,3,18.73,7
1,2,1.83,1
3,2,0.69,0.23
3,5,2.35,0.5
3,5,18.06,4
1,4,27.47,8
1,2,6.62,3.5
3,3,18.73,7
1,5,9.09,2
1,5,13.93,3
1,1,1.83,2
3,10,9.09,1
3,6,26.47,5
1,4,30.63,9
3,1,1.83,2
3,6,13.63,2.5
