Protocol,left_better,two_tail,right_better
Fully Crowded,0.896832257292787,0.206380822762182,0.103190411381091
Three Lines,0.405729475385508,0.811458950771017,0.603055081150161
Crowded Periphery 9x9,0.647920420405392,0.727788065972363,0.363894032986181
Crowded Periphery 7x7,0.114465664047639,0.228931328095277,0.887385609759154
Crowded Periphery 5x5,0.75888963240922,0.488241292994105,0.244120646497053
Crowded Periphery,0.236228801437484,0.472457602874969,0.764821821411444
Crowded Periphery Outer,0.537423438786061,0.928329325124312,0.464164662562156
Crowded Periphery Inner,0.733041620660201,0.558992323735976,0.279496161867988
Crowded Center 9x9,0.168827778852085,0.337655557704169,0.832904276905771
Crowded Center 3x3,0.391214660434849,0.782429320869698,0.610003745764889
Isolated Character,0.995518492433521,0.0089881560882163,0.00449407804410815
