type,name,fc_slope,fc_chi_sq,fc_reduced_chi_sq,fc_neg_error,fc_pos_error,l3_slope,l3_chi_sq,l3_reduced_chi_sq,l3_neg_error,l3_pos_error,cp9_slope,cp9_chi_sq,cp9_reduced_chi_sq,cp9_neg_error,cp9_pos_error,cp7_slope,cp7_chi_sq,cp7_reduced_chi_sq,cp7_neg_error,cp7_pos_error,cp5_slope,cp5_chi_sq,cp5_reduced_chi_sq,cp5_neg_error,cp5_pos_error,cp_slope,cp_chi_sq,cp_reduced_chi_sq,cp_neg_error,cp_pos_error,cpo_slope,cpo_chi_sq,cpo_reduced_chi_sq,cpo_neg_error,cpo_pos_error,cpi_slope,cpi_chi_sq,cpi_reduced_chi_sq,cpi_neg_error,cpi_pos_error,cc9_slope,cc9_chi_sq,cc9_reduced_chi_sq,cc9_neg_error,cc9_pos_error,cc3_slope,cc3_chi_sq,cc3_reduced_chi_sq,cc3_neg_error,cc3_pos_error,ic_slope,ic_chi_sq,ic_reduced_chi_sq,ic_neg_error,ic_pos_error
All,Averaged,0.272706383478911,17.1170633619409,1.22264738299578,0.263557747071116,0.281855019338424,0.214905931085415,0.566394989332117,0.0809135699045882,0.171760051513886,0.258051810656944,0.10873542547122,4.45769308429149,0.891538616858298,0.101914918661807,0.115555932482906,0.130684459323025,5.58902036439569,0.798431480627955,0.126481468075305,0.134887450570745,0.132181004948895,3.99235458118508,0.570336368740726,0.128464572230697,0.135897437776858,0.0949248631727193,12.2460766845441,1.74943952636344,0.0920062749848466,0.0978434513605921,0.0701424959752064,9.23139976646075,1.31877139520868,0.0674681542081079,0.0728168377423045,0.0789970548622766,11.7555245703316,1.67936065290451,0.0754021404082143,0.0825919694224822,0.0270739951012576,4.98622565427297,1.24655641356824,0.0262337766287984,0.0279142135737169,0.0278422526810633,3.71329568377969,0.742659136755937,0.0270664548994451,0.0286180504626815,0.0344303485089866,160.772775403785,22.9675393433979,0.0338707598326064,0.0349899371676963
Study,Averaged,0.297009277285577,11.3536207733096,0.810972912379258,0.287053198285242,0.306965356343682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0884056033246278,26.1593868534551,3.7370552647793,0.0854924557487011,0.0913187509863798,0.09227804615302,223.357440551772,31.9082057931103,0.0896123672240967,0.0949437250819425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0381390189921291,164.531126206401,23.5044466009144,0.0375729025071693,0.038705135477089
Pilot,Averaged,0.262353842549952,20.9118762681682,1.4937054477263,0.253534750593135,0.27117293397813,0.214905931085415,0.566394989332117,0.0809135699045882,0.171760051513886,0.258051810656944,0.10873542547122,4.45769308429149,0.891538616858298,0.101914918661807,0.115555932482906,0.130684459323025,5.58902036439569,0.798431480627955,0.126481468075305,0.134887450570745,0.132181004948895,3.99235458118508,0.570336368740726,0.128464572230697,0.135897437776858,0.0956936992936471,16.5665579656476,2.36665113794965,0.0927755710540118,0.098611827533282,0.0666190634018944,14.1769223836915,2.02527462624164,0.0639396837141074,0.0692984430896811,0.0789970548622766,11.7555245703316,1.67936065290451,0.0754021404082143,0.0825919694224822,0.0270739951012576,4.98622565427297,1.24655641356824,0.0262337766287984,0.0279142135737169,0.0278422526810633,3.71329568377969,0.742659136755937,0.0270664548994451,0.0286180504626815,0.0327692167943327,168.616337675937,24.0880482394195,0.0322049005081889,0.0333335330804766
Study,CNPC,0.289765547204284,19.0416068923979,1.36011477802842,0.280029068493469,0.299502025331779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0353673768797605,220.76931434296,31.5384734775657,0.0347935734231941,0.0359411803363267
Study,IZCH,0.311681068291566,4.4900124973164,0.345385576716646,0.301229242480936,0.322132894779136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0435874158665538,332.525119396691,47.5035884852416,0.0430210637221463,0.0441537680135921
Study,LKAJ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0884056033246278,26.1593868534551,3.7370552647793,0.0854924557487011,0.0913187509863798,0.09227804615302,223.357440551772,31.9082057931103,0.0896123672240967,0.0949437250819425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0355883990191607,386.448782547267,55.2069689353238,0.0350146318587382,0.0361621661795835
Study,MKAI,0.315406749208114,15.3466572822174,1.18051209863211,0.304775321779951,0.326038176439178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0499923951858524,201.424546849677,28.7749352642396,0.0494249972589625,0.0505597931097242
Study,MMNK,0.270695971752393,26.211979779841,2.01630613691085,0.26149581046325,0.279896133586928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0345171709062769,345.83035710092,49.4043367287029,0.0339560870690133,0.0350782547258254
Study,OFBL,0.297590167159856,22.0307984388788,1.69467680299068,0.287507546676376,0.307672788241326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242347572905417,158.641999251262,22.6631427501803,0.0236762874378877,0.0247932271431958
Study,PLKA,0.286802221078212,36.0851748079427,2.57751248628162,0.27705034916352,0.29655409357118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0418121971332486,390.004886646961,55.7149838067087,0.0412495372650431,0.0423748570014539
