protocol,fc_better,fc,fc_worse,l3_better,l3,l3_worse,cp9_better,cp9,cp9_worse,cp7_better,cp7,cp7_worse,cp5_better,cp5,cp5_worse,cp_better,cp,cp_worse,cpo_better,cpo,cpo_worse,cpi_better,cpi,cpi_worse,cc9_better,cc9,cc9_worse,cc3_better,cc3,cc3_worse,ic_better,ic,ic_worse
fc,NaN,NaN,NaN,4.05998462677236e-06,8.11996925354471e-06,0.999995946830095,2.41057288767968e-21,4.82114577535935e-21,1,7.53373949776687e-42,1.50674789955337e-41,1,1.0394124247531e-40,2.07882484950619e-40,1,2.75482129423908e-88,5.50964258847815e-88,1,6.08825590288913e-84,1.21765118057783e-83,1,2.47309303216139e-22,4.94618606432278e-22,1,3.29179550822797e-63,6.58359101645593e-63,1,2.42267610999962e-100,4.84535221999923e-100,1,1.42811516860309e-193,2.85623033720618e-193,1
l3,0.999995946830095,8.11996925354471e-06,4.05998462677236e-06,NaN,NaN,NaN,3.4273354295894e-11,6.8546708591788e-11,0.99999999996787,1.43198510077523e-13,2.86397020155047e-13,0.999999999999862,6.71117264595056e-13,1.34223452919011e-12,0.999999999999354,1.01275084813537e-21,2.02550169627074e-21,1,1.30669385382159e-22,2.61338770764319e-22,1,6.6916564406494e-14,1.33833128812988e-13,0.999999999999938,7.06745601899696e-22,1.41349120379939e-21,1,9.38368634612691e-25,1.87673726922538e-24,1,9.81220293998471e-28,1.96244058799694e-27,1
cp9,1,4.82114577535935e-21,2.41057288767968e-21,0.99999999996787,6.8546708591788e-11,3.4273354295894e-11,NaN,NaN,NaN,0.94159594334882,0.118221809486654,0.0591109047433272,0.992151722247129,0.0159584885232317,0.00797924426161587,0.00514644148244894,0.0102928829648979,0.994902437994208,1.50796927037937e-08,3.01593854075875e-08,0.99999998522915,5.99864632465984e-05,0.000119972926493197,0.999942950366801,7.1835714780553e-19,1.43671429561106e-18,1,4.05751077133016e-21,8.11502154266031e-21,1,3.74427122435907e-22,7.48854244871815e-22,1
cp7,1,1.50674789955337e-41,7.53373949776687e-42,0.999999999999862,2.86397020155047e-13,1.43198510077523e-13,0.0591109047433272,0.118221809486654,0.94159594334882,NaN,NaN,NaN,0.851643171224241,0.298326710418087,0.149163355209044,3.0871953020678e-09,6.1743906041356e-09,0.999999996949864,1.41139139453948e-18,2.82278278907896e-18,1,1.62027870939029e-09,3.24055741878058e-09,0.99999999844264,2.37255948753762e-30,4.74511897507524e-30,1,1.3474983949461e-36,2.6949967898922e-36,1,2.88174954698386e-42,5.76349909396772e-42,1
cp5,1,2.07882484950619e-40,1.0394124247531e-40,0.999999999999354,1.34223452919011e-12,6.71117264595056e-13,0.00797924426161587,0.0159584885232317,0.992151722247129,0.149163355209044,0.298326710418087,0.851643171224241,NaN,NaN,NaN,5.40801551702203e-12,1.08160310340441e-11,0.999999999994667,1.27070262315897e-20,2.54140524631794e-20,1,1.13163886128972e-10,2.26327772257944e-10,0.999999999891523,6.40993362714597e-30,1.28198672542919e-29,1,6.80874251557529e-36,1.36174850311506e-35,1,3.71264777448498e-42,7.42529554896996e-42,1
cp,1,5.50964258847815e-88,2.75482129423908e-88,1,2.02550169627074e-21,1.01275084813537e-21,0.994902437994208,0.0102928829648979,0.00514644148244894,0.999999996949864,6.1743906041356e-09,3.0871953020678e-09,0.999999999994667,1.08160310340441e-11,5.40801551702203e-12,NaN,NaN,NaN,1.47739566331299e-09,2.95479132662597e-09,0.99999999853462,0.00555749306795232,0.0111149861359046,0.994498586200086,3.68146062674869e-38,7.36292125349738e-38,1,3.34771302516884e-50,6.69542605033768e-50,1,9.98161912005478e-60,1.99632382401096e-59,1
cpo,1,1.21765118057783e-83,6.08825590288913e-84,1,2.61338770764319e-22,1.30669385382159e-22,0.99999998522915,3.01593854075875e-08,1.50796927037937e-08,1,2.82278278907896e-18,1.41139139453948e-18,1,2.54140524631794e-20,1.27070262315897e-20,0.99999999853462,2.95479132662597e-09,1.47739566331299e-09,NaN,NaN,NaN,0.960499258730822,0.0796667009507381,0.0398333504753691,8.76471529414599e-29,1.7529430588292e-28,1,1.01487451771755e-36,2.0297490354351e-36,1,8.85845970638734e-34,1.77169194127747e-33,1
cpi,1,4.94618606432278e-22,2.47309303216139e-22,0.999999999999938,1.33833128812988e-13,6.6916564406494e-14,0.999942950366801,0.000119972926493197,5.99864632465984e-05,0.99999999844264,3.24055741878058e-09,1.62027870939029e-09,0.999999999891523,2.26327772257944e-10,1.13163886128972e-10,0.994498586200086,0.0111149861359046,0.00555749306795232,0.0398333504753691,0.0796667009507381,0.960499258730822,NaN,NaN,NaN,2.69357830890279e-16,5.38715661780559e-16,1,5.21079372032526e-18,1.04215874406505e-17,1,1.90744520394442e-16,3.81489040788884e-16,1
cc9,1,6.58359101645593e-63,3.29179550822797e-63,1,1.41349120379939e-21,7.06745601899696e-22,1,1.43671429561106e-18,7.1835714780553e-19,1,4.74511897507524e-30,2.37255948753762e-30,1,1.28198672542919e-29,6.40993362714597e-30,1,7.36292125349738e-38,3.68146062674869e-38,1,1.7529430588292e-28,8.76471529414599e-29,1,5.38715661780559e-16,2.69357830890279e-16,NaN,NaN,NaN,0.808228394876975,0.384433699038516,0.192216849519258,0.999999090782082,1.82596771151922e-06,9.12983855759609e-07
cc3,1,4.84535221999923e-100,2.42267610999962e-100,1,1.87673726922538e-24,9.38368634612691e-25,1,8.11502154266031e-21,4.05751077133016e-21,1,2.6949967898922e-36,1.3474983949461e-36,1,1.36174850311506e-35,6.80874251557529e-36,1,6.69542605033768e-50,3.34771302516884e-50,1,2.0297490354351e-36,1.01487451771755e-36,1,1.04215874406505e-17,5.21079372032526e-18,0.192216849519258,0.384433699038516,0.808228394876975,NaN,NaN,NaN,0.99999896607054,2.07400032294609e-06,1.03700016147304e-06
