type,name,fc_slope,fc_chi_sq,fc_reduced_chi_sq,fc_neg_error,fc_pos_error,l3_slope,l3_chi_sq,l3_reduced_chi_sq,l3_neg_error,l3_pos_error,cp9_slope,cp9_chi_sq,cp9_reduced_chi_sq,cp9_neg_error,cp9_pos_error,cp7_slope,cp7_chi_sq,cp7_reduced_chi_sq,cp7_neg_error,cp7_pos_error,cp5_slope,cp5_chi_sq,cp5_reduced_chi_sq,cp5_neg_error,cp5_pos_error,cp_slope,cp_chi_sq,cp_reduced_chi_sq,cp_neg_error,cp_pos_error,cpo_slope,cpo_chi_sq,cpo_reduced_chi_sq,cpo_neg_error,cpo_pos_error,cc9_slope,cc9_chi_sq,cc9_reduced_chi_sq,cc9_neg_error,cc9_pos_error,cc3_slope,cc3_chi_sq,cc3_reduced_chi_sq,cc3_neg_error,cc3_pos_error,ic_slope,ic_chi_sq,ic_reduced_chi_sq,ic_neg_error,ic_pos_error
All,Averaged,0.272706383,17.11706336,1.222647383,0.263557747,0.281855019,0.214905931,0.566394989,0.08091357,0.171760052,0.258051811,0.108735425,4.457693084,0.891538617,0.101914919,0.115555932,0.130684459,5.589020364,0.798431481,0.126481468,0.134887451,0.132181005,3.992354581,0.570336369,0.128464572,0.135897438,0.094924863,12.24607668,1.749439526,0.092006275,0.097843451,0.070142496,9.231399766,1.318771395,0.067468154,0.072816838,0.027073995,4.986225654,1.246556414,0.026233777,0.027914214,0.027842253,3.713295684,0.742659137,0.027066455,0.02861805,0.034430349,160.7727754,22.96753934,0.03387076,0.034989937
Study,Averaged,0.297009277,11.35362077,0.810972912,0.287053198,0.306965356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.088405603,26.15938685,3.737055265,0.085492456,0.091318751,0.092278046,223.3574406,31.90820579,0.089612367,0.094943725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038139019,164.5311262,23.5044466,0.037572903,0.038705135
Study,OFBL,0.297590167,22.03079844,1.694676803,0.287507547,0.307672788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024234757,158.6419993,22.66314275,0.023676287,0.024793227
Study,CNPC,0.289765547,19.04160689,1.360114778,0.280029068,0.299502025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035367377,220.7693143,31.53847348,0.034793573,0.03594118
Study,IZCH,0.311681068,4.490012497,0.345385577,0.301229242,0.322132895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043587416,332.5251194,47.50358849,0.043021064,0.044153768
Study,MKAI,0.315406749,15.34665728,1.180512099,0.304775322,0.326038176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049992395,201.4245468,28.77493526,0.049424997,0.050559793
Study,MMNK,0.270695972,26.21197978,2.016306137,0.26149581,0.279896134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034517171,345.8303571,49.40433673,0.033956087,0.035078255
Study,PLKA,0.286802221,36.08517481,2.577512486,0.277050349,0.296554094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041812197,390.0048866,55.71498381,0.041249537,0.042374857
Study,LKAJ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.088405603,26.15938685,3.737055265,0.085492456,0.091318751,0.092278046,223.3574406,31.90820579,0.089612367,0.094943725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035588399,386.4487825,55.20696894,0.035014632,0.036162166
Mock,SABA,0.2960311,25.22681414,1.801915295,0.286045486,0.306016713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.085758684,29.64325666,4.234750951,0.082833329,0.088684039,0.077579071,52.04315223,7.434736032,0.074924676,0.080233467,0.026923003,1.670045862,0.417511466,0.026083197,0.027762808,0.024926732,66.2763621,13.25527242,0.024155648,0.025697817,0.030184725,170.5192932,24.35989903,0.029631582,0.030737867
