Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
1, 4, 11.22, 3.00
2, 7, 19.15, 3.00
3, 3, 12.45, 3.00
4, 6, 23.83, 3.00
3, 2, 23.94, 9.00
1, 2, 16.49, 9.00
4, 2, 23.94, 9.00
2, 4, 30.63, 9.00
4, 2, 21.41, 8.00
2, 2, 14.57, 8.00
1, 3, 21.31, 8.00
3, 2, 21.41, 8.00
1, 3, 1.03, 0.23
3, 0, 0.00, 0.23
4, 0, 0.00, 0.23
2, 5, 1.72, 0.23
2, 4, 5.57, 1.50
4, 3, 6.23, 1.50
1, 7, 9.69, 1.50
3, 3, 6.23, 1.50
3, 3, 27.29, 7.00
2, 4, 24.32, 7.00
4, 3, 27.29, 7.00
1, 2, 12.73, 7.00
2, 2, 3.66, 2.00
4, 6, 16.07, 2.00
3, 3, 8.19, 2.00
1, 9, 16.07, 2.00
1, 4, 21.21, 6.00
2, 2, 10.98, 6.00
3, 2, 16.28, 6.00
4, 3, 23.65, 6.00
1, 1, 0.92, 1.00
4, 8, 11.05, 1.00
2, 6, 5.48, 1.00
3, 5, 6.96, 1.00
2, 5, 11.42, 2.50
1, 6, 13.63, 2.50
3, 3, 10.27, 2.50
4, 2, 6.89, 2.50
4, 1, 4.92, 3.50
3, 0, 0.00, 3.50
2, 0, 0.00, 3.50
1, 0, 0.00, 3.50
3, 3, 2.06, 0.50
1, 2, 0.94, 0.50
2, 2, 0.94, 0.50
4, 4, 2.75, 0.50
3, 2, 13.82, 5.00
1, 5, 22.54, 5.00
4, 4, 26.20, 5.00
2, 4, 18.37, 5.00
1, 3, 26.20, 10.00
2, 5, 39.35, 10.00
4, 2, 26.38, 10.00
3, 2, 26.38, 10.00
2, 4, 14.62, 4.00
3, 3, 16.32, 4.00
1, 6, 21.37, 4.00
4, 2, 11.05, 4.00
3, 3, 27.29, 7.00
1, 4, 24.32, 7.00
4, 3, 27.29, 7.00
2, 4, 24.32, 7.00
1, 3, 23.94, 9.00
3, 1, 12.52, 9.00
4, 0, 0.00, 9.00
2, 5, 36.50, 9.00
1, 6, 13.63, 2.50
3, 4, 13.58, 2.50
2, 6, 13.63, 2.50
4, 2, 6.89, 2.50
3, 1, 0.69, 0.50
2, 2, 0.94, 0.50
1, 6, 2.82, 0.50
4, 4, 2.75, 0.50
2, 5, 22.54, 5.00
4, 3, 20.25, 5.00
3, 3, 20.25, 5.00
1, 0, 0.00, 5.00
2, 4, 33.26, 10.00
4, 0, 0.00, 10.00
1, 3, 26.20, 10.00
3, 2, 26.38, 10.00
4, 4, 16.40, 3.00
1, 7, 19.15, 3.00
2, 7, 19.15, 3.00
3, 3, 12.45, 3.00
4, 4, 21.33, 4.00
2, 7, 24.53, 4.00
1, 5, 18.06, 4.00
3, 4, 21.33, 4.00
2, 4, 7.29, 2.00
3, 6, 16.07, 2.00
1, 3, 5.48, 2.00
4, 4, 10.87, 2.00
2, 6, 19.19, 3.50
1, 5, 16.17, 3.50
3, 4, 18.98, 3.50
4, 4, 18.98, 3.50
3, 4, 8.28, 1.50
1, 6, 8.33, 1.50
2, 0, 0.00, 1.50
4, 4, 8.28, 1.50
4, 0, 0.00, 0.23
1, 2, 0.69, 0.23
3, 0, 0.00, 0.23
2, 0, 0.00, 0.23
4, 3, 4.19, 1.00
1, 5, 4.57, 1.00
2, 6, 5.48, 1.00
3, 4, 5.57, 1.00
1, 4, 21.21, 6.00
4, 3, 23.65, 6.00
2, 4, 21.21, 6.00
3, 3, 23.65, 6.00
1, 3, 21.31, 8.00
3, 2, 21.41, 8.00
2, 6, 37.95, 8.00
4, 2, 21.41, 8.00
4, 0, 0.00, 0.23
1, 5, 1.72, 0.23
2, 3, 1.03, 0.23
3, 1, 0.34, 0.23
3, 0, 0.00, 5.00
2, 0, 0.00, 5.00
1, 0, 0.00, 5.00
4, 4, 26.20, 5.00
4, 0, 0.00, 1.00
2, 7, 6.39, 1.00
3, 4, 5.57, 1.00
1, 3, 2.75, 1.00
3, 4, 18.98, 3.50
4, 4, 18.98, 3.50
2, 5, 16.17, 3.50
1, 0, 0.00, 3.50
2, 4, 30.63, 9.00
4, 2, 23.94, 9.00
1, 3, 23.94, 9.00
3, 2, 23.94, 9.00
1, 6, 37.95, 8.00
2, 2, 14.57, 8.00
4, 2, 21.41, 8.00
3, 2, 21.41, 8.00
1, 3, 6.91, 2.50
3, 6, 19.92, 2.50
4, 7, 22.92, 2.50
2, 6, 13.63, 2.50
1, 4, 33.26, 10.00
2, 4, 33.26, 10.00
3, 2, 26.38, 10.00
4, 2, 26.38, 10.00
4, 2, 18.98, 7.00
3, 3, 27.29, 7.00
2, 4, 24.32, 7.00
1, 5, 29.47, 7.00
1, 8, 3.75, 0.50
4, 4, 2.75, 0.50
2, 5, 2.35, 0.50
3, 3, 2.06, 0.50
1, 7, 12.63, 2.00
4, 4, 10.87, 2.00
2, 4, 7.29, 2.00
3, 2, 5.48, 2.00
2, 5, 13.93, 3.00
3, 2, 8.37, 3.00
4, 1, 4.21, 3.00
1, 0, 0.00, 3.00
1, 5, 25.87, 6.00
2, 6, 30.20, 6.00
4, 3, 23.65, 6.00
3, 4, 30.28, 6.00
3, 3, 6.23, 1.50
4, 3, 6.23, 1.50
2, 0, 0.00, 1.50
1, 5, 6.96, 1.50
4, 2, 11.05, 4.00
3, 3, 16.32, 4.00
1, 5, 18.06, 4.00
2, 6, 21.37, 4.00
