Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
2, 2, 5.67, 3.00
1, 4, 11.22, 3.00
1, 2, 12.73, 7.00
2, 4, 24.32, 7.00
2, 5, 16.17, 3.50
1, 4, 13.06, 3.50
1, 4, 9.18, 2.50
2, 3, 6.91, 2.50
1, 4, 14.62, 4.00
2, 3, 11.07, 4.00
1, 6, 2.06, 0.23
2, 0, 0.00, 0.23
1, 4, 5.57, 1.50
2, 7, 9.69, 1.50
2, 6, 44.54, 10.00
1, 3, 26.20, 10.00
2, 7, 12.63, 2.00
1, 2, 3.66, 2.00
2, 4, 18.37, 5.00
1, 2, 9.43, 5.00
1, 2, 10.98, 6.00
2, 6, 30.20, 6.00
1, 3, 1.41, 0.50
2, 10, 4.69, 0.50
1, 6, 37.95, 8.00
2, 3, 21.31, 8.00
1, 6, 41.61, 9.00
2, 4, 30.63, 9.00
2, 3, 2.75, 1.00
1, 4, 3.66, 1.00
2, 7, 12.63, 2.00
1, 6, 10.87, 2.00
2, 3, 26.20, 10.00
1, 4, 33.26, 10.00
2, 7, 24.53, 4.00
1, 9, 30.40, 4.00
2, 6, 30.20, 6.00
1, 2, 10.98, 6.00
1, 11, 23.96, 2.50
2, 5, 11.42, 2.50
1, 4, 24.32, 7.00
2, 5, 29.47, 7.00
2, 4, 11.22, 3.00
1, 4, 11.22, 3.00
1, 2, 14.57, 8.00
2, 8, 46.12, 8.00
2, 4, 30.63, 9.00
1, 6, 41.61, 9.00
2, 4, 3.66, 1.00
1, 0, 0.00, 1.00
1, 8, 33.58, 5.00
2, 3, 13.98, 5.00
2, 7, 22.10, 3.50
1, 7, 22.10, 3.50
2, 1, 0.34, 0.23
1, 3, 1.03, 0.23
2, 5, 2.35, 0.50
1, 6, 2.82, 0.50
1, 11, 15.02, 1.50
2, 3, 4.19, 1.50
1, 5, 9.09, 2.00
2, 8, 14.36, 2.00
1, 5, 11.42, 2.50
2, 6, 13.63, 2.50
2, 7, 22.10, 3.50
1, 3, 9.87, 3.50
2, 6, 26.47, 5.00
1, 0, 0.00, 5.00
2, 7, 48.94, 10.00
1, 2, 18.16, 10.00
1, 5, 2.35, 0.50
2, 3, 1.41, 0.50
2, 0, 0.00, 0.23
1, 2, 0.69, 0.23
1, 4, 14.62, 4.00
2, 6, 21.37, 4.00
1, 8, 11.05, 1.50
2, 2, 2.79, 1.50
2, 5, 36.50, 9.00
1, 7, 46.01, 9.00
1, 6, 34.14, 7.00
2, 3, 18.73, 7.00
2, 5, 13.93, 3.00
1, 6, 16.57, 3.00
2, 3, 2.75, 1.00
1, 3, 2.75, 1.00
2, 4, 21.21, 6.00
1, 3, 16.22, 6.00
1, 7, 42.30, 8.00
2, 3, 21.31, 8.00
