Letter Height (degrees),Eccentricity (degrees),Position,Delay Time (s),Reaction Time (ms),Correct
0.5,20,3,3.163271149,1773.7628,1
0.5,10,2,3.490111037,808.9503,1
0.5,0,0,3.421400864,846.2258,1
0.5,0,0,4.669373998,577.0476,1
0.5,5,1,3.312167618,467.8312,1
0.5,15,3,2.049321482,910.4266,0
0.5,10,2,3.347483644,770.2182,1
0.5,20,2,1.579690018,1073.8561,1
0.5,15,2,1.944207563,952.8902,1
0.5,0,0,3.974601245,739.8574,1
0.5,0,0,4.396459428,644.5838,1
0.5,5,4,3.617347624,520.8917,1
0.5,0,0,1.325100977,462.0732,1
0.5,0,0,2.915067248,469.9655,1
0.5,5,3,1.801945582,505.6081,0
0.5,0,0,4.680981995,489.5997,1
0.5,10,3,2.997738485,637.8204,0
0.5,5,1,1.405560803,490.9641,1
0.5,15,2,1.794076532,559.0233,1
0.5,20,1,4.430827893,550.9021,0
1,15,4,2.394769647,872.4039,1
1,10,3,1.497404568,616.0565,1
1,20,3,1.759457502,615.9197,1
1,5,4,3.328633756,537.2444,1
1,10,4,4.503363387,734.7255,1
1,5,2,1.758439364,554.5407,1
1,20,4,3.7080165,640.6276,1
1,15,3,3.716943332,736.1278,1
1,10,3,1.549319625,530.8257,1
1,0,0,4.910606048,665.2436,1
1,20,3,1.303670055,618.4695,1
1,15,3,4.707543034,693.2436,1
1,0,0,4.865308178,822.3682,1
1,20,4,2.443636089,612.1283,0
1,5,1,3.357670729,627.8341,1
1,10,4,2.282413694,607.8274,1
1,20,3,4.442586738,661.0743,1
1,15,2,4.275964604,511.687,1
1,5,1,1.373225596,451.6956,1
1,0,0,1.521720748,371.8684,0
1.5,5,4,3.135208274,582.3056,1
1.5,0,0,3.188375688,846.6879,1
1.5,15,1,2.389956875,604.0412,1
1.5,20,2,1.232588047,512.9956,1
1.5,15,1,4.120573398,566.3149,1
1.5,0,0,3.531605802,482.626,1
1.5,20,2,4.091096407,874.7409,1
1.5,0,0,3.146842499,663.5815,1
1.5,0,0,4.910276012,553.0549,1
1.5,0,0,1.969637362,835.8054,1
1.5,0,0,3.596985113,560.8243,1
1.5,15,3,1.679843008,551.7696,1
1.5,5,2,2.689542725,613.1748,1
1.5,10,4,1.069082774,497.3262,1
1.5,0,0,1.410902784,660.827,1
1.5,15,2,4.897806429,630.2771,1
1.5,20,4,2.260618836,898.67,1
1.5,0,0,2.063815679,859.8675,1
1.5,10,3,1.507240121,541.0115,1
1.5,0,0,2.652325231,476.9767,1
2,10,4,1.855652712,805.7741,1
2,20,3,3.383178981,700.6914,1
2,0,0,3.236507836,558.848,1
2,0,0,2.121032609,547.5825,1
2,5,1,4.10589962,568.5119,1
2,15,1,3.912890203,548.3199,0
2,0,0,1.875244074,531.0235,1
2,0,0,1.868232409,467.2018,1
2,5,1,3.924881947,483.107,1
2,15,3,4.799430326,815.2577,1
2,20,1,1.021172898,580.0197,1
2,10,3,4.561411733,629.6505,1
2,0,0,3.936163515,430.7433,0
2,10,3,1.094796857,1009.7811,1
2,0,0,3.609927428,440.2284,1
2,0,0,3.832246421,412.1143,1
2,0,0,2.037865967,441.6647,1
2,10,3,2.862287374,660.1343,1
2,5,4,2.478542218,454.8991,1
2,0,0,4.760694854,453.6545,1
2.5,0,0,2.379543902,521.718,1
2.5,0,0,3.474800941,1016.7421,1
2.5,0,0,4.376960827,576.8353,1
2.5,0,0,2.526276824,483.5445,1
2.5,15,1,3.501017114,467.7416,1
2.5,20,3,3.644345715,687.8259,1
2.5,0,0,2.132632127,606.1727,1
2.5,0,0,1.316548952,480.7289,1
2.5,10,3,4.014156756,652.8379,1
2.5,5,2,1.178612052,499.6018,1
2.5,20,3,1.239096249,542.1349,1
2.5,15,4,4.254844915,732.7368,1
2.5,10,2,2.993201561,663.6741,1
2.5,20,4,3.16206652,814.5118,1
2.5,15,4,3.239538926,603.5156,1
2.5,5,3,2.492178069,542.0921,1
2.5,10,1,1.178016985,488.6116,1
2.5,0,0,2.660810545,602.4279,1
2.5,0,0,4.019657449,575.2268,1
2.5,15,4,1.839577467,414.164,0
3,15,2,1.558850186,525.9873,1
3,0,0,3.145788152,699.9805,1
3,5,4,4.396473011,719.4185,1
3,0,0,3.181323853,563.6686,1
3,15,4,3.182404917,638.3614,1
3,5,2,4.943088018,670.1659,1
3,10,2,2.106283535,494.3005,1
3,20,1,2.279023162,654.6299,1
3,0,0,3.282448198,543.1595,1
3,0,0,3.721446687,579.2664,1
3,20,2,3.377336218,692.4951,1
3,5,4,1.424044221,511.5205,0
3,0,0,2.497421242,629.9535,1
3,15,3,1.287429359,456.5768,0
3,0,0,4.795255674,517.8455,1
3,20,4,3.361029062,634.3002,1
3,5,3,2.770013017,594.1856,1
3,20,2,3.7939867,658.1675,1
3,0,0,2.137561225,802.1097,1
3,15,4,2.881250822,509.9599,1
3.5,0,0,3.9498865,499.9156,0
3.5,0,0,1.368125636,681.3014,1
3.5,10,2,1.940380285,560.1326,1
3.5,20,4,2.182335339,498.5727,1
3.5,10,4,1.072306024,804.2634,1
3.5,15,2,2.896660325,607.1864,1
3.5,20,3,4.822450951,995.7848,1
3.5,5,3,3.337504272,710.5986,1
3.5,0,0,4.026444728,711.9699,1
3.5,0,0,3.945775808,461.4451,1
3.5,0,0,4.436234672,649.2132,1
3.5,10,2,3.067988232,499.9002,1
3.5,10,2,1.276731804,349.3417,1
3.5,5,2,4.47385913,827.9535,1
3.5,0,0,3.03836235,497.603,1
3.5,20,2,1.780589994,629.153,1
3.5,5,1,1.95865476,493.1613,1
3.5,10,3,2.973234983,498.4065,1
3.5,0,0,2.632389226,613.5187,1
3.5,20,2,1.453440901,625.2019,1
4,15,3,3.413773979,559.1091,1
4,10,4,2.577202282,482.2309,0
