Direction, Characters Read, Eccentricity (degrees), Letter Height (degrees)
2,0,0,0.5
2,1,0.69,0.5
2,2,1.37,0.5
3,1,0.47,0.5
3,1,0.47,0.5
3,5,2.35,0.5
1,1,0.47,0.5
1,2,0.94,0.5
1,4,1.88,0.5
4,2,1.37,0.5
4,2,1.37,0.5
4,3,2.06,0.5
2,5,6.96,1
2,2,2.79,1
2,5,6.96,1
3,4,3.66,1
3,2,1.83,1
3,2,1.83,1
1,3,2.75,1
1,5,4.57,1
1,4,3.66,1
4,2,2.79,1
4,2,2.79,1
4,2,2.79,1
2,6,12.32,1.5
2,4,8.28,1.5
2,7,14.29,1.5
3,6,8.33,1.5
3,4,5.57,1.5
3,5,6.96,1.5
1,4,5.57,1.5
1,3,4.19,1.5
1,6,8.33,1.5
4,5,10.31,1.5
4,0,0,1.5
4,1,2.08,1.5
2,4,10.87,2
2,5,13.5,2
2,0,0,2
3,7,12.63,2
3,0,0,2
3,3,5.48,2
1,5,9.09,2
1,7,12.63,2
1,5,9.09,2
4,8,21.01,2
4,2,5.48,2
4,3,8.19,2
2,5,16.8,2.5
2,5,16.8,2.5
2,5,16.8,2.5
3,6,13.63,2.5
3,7,15.79,2.5
3,0,0,2.5
1,3,6.91,2.5
1,4,9.18,2.5
1,5,11.42,2.5
4,3,10.27,2.5
4,3,10.27,2.5
4,3,10.27,2.5
2,4,16.4,3
2,3,12.45,3
2,4,16.4,3
3,4,11.22,3
3,4,11.22,3
3,4,11.22,3
1,5,13.93,3
1,4,11.22,3
1,4,11.22,3
4,3,12.45,3
4,2,8.37,3
4,4,16.4,3
2,3,14.47,3.5
2,4,18.98,3.5
2,5,23.27,3.5
3,3,9.87,3.5
3,4,13.06,3.5
3,5,16.17,3.5
1,6,19.19,3.5
1,4,13.06,3.5
1,3,9.87,3.5
4,2,9.76,3.5
4,0,0,3.5
4,4,18.98,3.5
2,3,16.32,4
2,0,0,4
2,0,0,4
3,5,18.06,4
3,5,18.06,4
3,7,24.53,4
1,0,0,4
1,4,14.62,4
1,7,24.53,4
4,5,26.01,4
4,2,11.05,4
4,3,16.32,4
